Number,Created,Resolved,Priority,Incident State,Reassignment count,Assignment group,Short description,Category,Subcategory,Country
INC7363381,2025-02-12 12:57:42,2025-02-13 06:11:26,4 - Low,Autoclosed,0,EUS_RO_10304,DT || Power Cycle Request || HP:MSL G3 Series_roias-ap04,Error Message,Error Message,Romania
INC7363346,2025-02-12 12:24:16,2025-02-17 08:38:42,4 - Low,Autoclosed,0,SAP_BATCHJOBS,OTC_JOBS Job OTC:PFX_IF_PRICECOND_A305_2210 failur,Error Message,Error Message,United Kingdom
INC7363331,2025-02-12 12:25:57,2025-02-12 12:31:18,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN:HP:PH Active Directory : Password Reset,Access/Lockout,Password Reset,United Kingdom
INC7363276,2025-02-12 12:21:51,2025-02-14 20:29:31,4 - Low,Autoclosed,4,Security_UAA,IN: VB: PH: Shared drive - User unable to open in read/write the following path & file : V:\Engineering\Tests\UAE-Bancselec\Planning produit.xlsm,Functionality Error,Connectivity,France
INC7363274,2025-02-12 10:43:01,2025-02-12 11:25:33,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN:RS:PH:Phinfo-Phinfo not working,Coaching,Configuration,France
INC7363260,2025-02-12 10:33:29,2025-02-12 12:00:02,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN: VB: PH: Remote access - User needs remote access to GILDTOFF00015.,Functionality Error,Connectivity,United Kingdom
INC7363259,2025-02-12 10:31:34,2025-02-14 10:33:16,4 - Low,Autoclosed,2,EDI_SEEBURGER_Customer,IN:HMV: PH: SAP -  PH1 025 - WE20 SETUP for COPARTS (1015918),Error Message,Error Message,United Kingdom
INC7363191,2025-02-12 09:49:02,2025-02-14 09:18:35,4 - Low,Autoclosed,1,Security_UAA,IN : AK : PH- Shared drive : Error for accessing the request  ( RITM5257044: Granted Share Folder access to user id - pstan@phinia.com ),Error Message,Error Message,Romania
INC7363173,2025-02-12 09:38:06,2025-02-12 10:11:52,4 - Low,Autoclosed,1,EDI_TECCOM,"IN: VB: PH: SAP - SAP PH1 025 - WE20 UPDATE x4, Please assign to Nicholas Reece within the EDI_TECCOM group",Functionality Error,Connectivity,United Kingdom
INC7363142,2025-02-12 09:10:33,2025-02-14 07:24:34,4 - Low,Autoclosed,2,SAP_ORDER_FULFILLMENT,IN : AK : PH- SAP : PN1 Order created with wrong 'payer' partner number,Error Message,Error Message,Turkey
INC7363136,2025-02-12 09:07:31,2025-02-13 03:25:38,4 - Low,Closed,1,APP_ENG_CAD_PDM_PLM_POOL,Auto CAD - Licensing issue. ,Error Message,Error Message,France
INC7363117,2025-02-12 08:56:57,2025-03-04 05:51:56,4 - Low,Autoclosed,1,SAP_FI/CO,IN:HMV: PH: SAP PN1  - FICO Support required for asset impairment for 2 company codes,Error Message,Error Message,United Kingdom
INC7363097,2025-02-12 08:43:35,2025-02-13 08:27:29,4 - Low,Autoclosed,4,EUS_Intune,IN:HMV; PH: SAP - SAP 8.00 Update,Error Message,Error Message,Turkey
INC7363091,2025-02-12 08:53:57,2025-02-12 09:16:02,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN : AK : PH- AD : Active Directory Password Reset,Access/Lockout,Password Reset,Poland
INC7363029,2025-02-12 08:07:31,2025-02-12 08:49:19,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,"IN : ND : PH : AD - Account Phinia Delaveau, Fabien AD Locked, Please unlock this account urgently",Access/Lockout,Locked Account,France
INC7363027,2025-02-12 08:03:42,2025-02-13 07:18:09,4 - Low,Autoclosed,1,APP_COMSUP_SCM,"IN:RS:PH:WebEDI - problem with log in, vendor 1063700, PN1",Error Message,Error Message,Poland
INC7362996,2025-02-12 07:53:02,2025-02-12 07:53:29,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN : AK : PH - AD : User contacted for account locked issue ,Access/Lockout,Locked Account,United Kingdom
INC7362994,2025-02-12 07:42:57,2025-02-12 08:54:54,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN:RS:PH:AD-my account is locked ,Access/Lockout,Locked Account,Spain
INC7362982,2025-02-12 07:54:35,2025-02-12 07:58:38,4 - Low,Closed,0,SERVICEDESK_INDIA,IN : ND : PH : AD - Password Reset,Access/Lockout,Password Reset,Poland
INC7362981,2025-02-12 07:36:41,2025-02-12 07:41:31,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN:BS:PH- AD - Active Directory Password Reset,Access/Lockout,Password Reset,Poland
INC7362979,2025-02-12 07:27:49,2025-02-19 08:06:50,4 - Low,Autoclosed,0,SAP_PH1_FI/CO,New Payment Terms with the description 15 days after date of GRN posting in PH1 system.,Error Message,Error Message,Turkey
INC7362968,2025-02-12 07:21:31,2025-02-12 09:18:38,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN:HMV: PH: Active Directory -  Password Reset,Access/Lockout,Password Reset,United Kingdom
INC7362967,2025-02-12 07:14:18,2025-02-13 04:23:00,4 - Low,Closed,1,APP_ENG_GES_FULL,IN:BS:PH- GES - Issue with log in to ges,Functionality Error,Data Incorrect/Missing/Other,Poland
INC7362935,2025-02-12 06:56:42,2025-02-12 09:19:55,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN:HMV: PH: MFA - MS Authentication issue,Coaching,Configuration,Romania
INC7362922,2025-02-12 06:45:51,2025-02-14 06:16:43,4 - Low,Autoclosed,1,EUS_PL_20030,IN: VB: PH: Files - Issue access to the file S:\Procedures\Dokumenty Systemu Jakości\Kontekst,Functionality Error,Connectivity,Poland
INC7362921,2025-02-12 06:45:40,2025-02-19 08:37:36,4 - Low,Autoclosed,1,EUS_GB_00282,IN : ND : PH : AD - Unable to get internet on laptop and password needed for login is a password months old. ,Access/Lockout,Insufficient Access,United Kingdom
INC7362896,2025-02-12 06:28:00,2025-02-18 09:51:21,4 - Low,Closed,1,EUS_GB_00274,IN:RS:PH:BMS PC lost connection.,Error Message,Error Message,United Kingdom
INC7362878,2025-02-12 06:13:04,2025-03-03 05:03:21,4 - Low,Autoclosed,1,Global Network Services,IN:BS:PH- Network - public URL link rapidpro.delphi.com is not working,Functionality Error,Break/Fix,United Kingdom
INC7362872,2025-02-12 06:04:59,2025-02-20 03:13:59,4 - Low,Autoclosed,2,APP_ENG_PDM_PLM_FULL,IN : AK : PH- Teamcenter: Problem with Teamcenter access and import data PN (24100260 & 24156693).,Functionality Error,Slow/No Response,Poland
INC7362853,2025-02-12 05:58:36,2025-02-21 03:04:31,4 - Low,Autoclosed,1,APP_ENG_mTV,IN: VB: PH: STATGRAPHICS  - Statgraphics license issue ( trial version).,Functionality Error,Slow/No Response,Poland
INC7362841,2025-02-12 05:50:55,2025-02-17 05:23:37,4 - Low,Autoclosed,0,APP_ENG_LIC_MAN,NX-Licensing issue ,Error Message,Error Message,Poland
INC7362825,2025-02-12 05:46:00,2025-02-13 08:31:27,4 - Low,Autoclosed,4,EUS_Intune,IN : ND : PH : SAP - SAP Runtime Error,Error Message,Error Message,United Kingdom
INC7362803,2025-02-12 05:32:59,2025-02-12 05:33:27,4 - Low,Closed,0,SERVICEDESK_INDIA,IN:RS:PH:AD account locked,Access/Lockout,Locked Account,United Kingdom
INC7362802,2025-02-12 05:24:36,2025-02-13 08:32:46,4 - Low,Autoclosed,1,EUS_Intune,IN:BS:PH- SAP - Update for SAP 8.00 ,Functionality Error,Break/Fix,Turkey
INC7362792,2025-02-12 05:15:59,2025-02-17 04:51:40,4 - Low,Autoclosed,1,SAP_PH1_FI/CO,IN : AK : PH- SAP : Not able to clearing on GL account 249050 PH1 company code 2210 - please assign to FICO IT ,Error Message,Error Message,United Kingdom
INC7362740,2025-02-12 04:42:47,2025-02-12 05:26:19,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN:HMV: PH: MFA - Reset ,Coaching,Configuration,France
INC7362739,2025-02-12 04:42:31,2025-02-20 06:08:27,4 - Low,Autoclosed,2,SERVICEDESK_INDIA,IN: VB: PH: Active directory - User did not receive email about password expiring.,Access/Lockout,Insufficient Access,United Kingdom
INC7362710,2025-02-12 04:16:00,2025-02-12 08:24:10,4 - Low,Closed,1,EUS_RO_10304,IN:HMV:  PH: Oracle 11g Instalation Issue,Error Message,Error Message,Romania
INC7362709,2025-02-12 04:15:51,2025-02-28 08:51:04,4 - Low,Autoclosed,1,SAP_PH1_FI/CO,IN : AK : PH- SAP : Global Layouts needed,Error Message,Error Message,Poland
INC7362708,2025-02-12 04:21:24,2025-02-12 05:26:10,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN: VB: PH: AD  - account locked.,Access/Lockout,Locked Account,United Kingdom
INC7362669,2025-02-12 03:58:20,2025-02-12 05:17:51,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN: VB: PH: Remote access - User need remote PC access to GILDTOFF00024.,Functionality Error,Connectivity,United Kingdom
INC7362657,2025-02-12 03:34:10,2025-02-17 05:10:27,4 - Low,Autoclosed,1,SAP_SECURITY,IN:RS:PH:SAP-PR1 Password Reset,Error Message,Error Message,United Kingdom
INC7362638,2025-02-12 03:12:23,2025-02-19 08:55:57,4 - Low,Autoclosed,1,SAP_SECURITY,"IN : JM : PH - SAP - Need to setup background jobs to update SNC1 in PN1,PG1,PS2 and PH1 system.",Error Message,Error Message,Romania
INC7362637,2025-02-12 03:09:42,2025-02-12 05:38:05,4 - Low,Closed,0,SERVICEDESK_INDIA,IN:BS:PH- Access request to Intellecat,Coaching,Configuration,France
INC7362621,2025-02-12 03:04:33,2025-02-20 02:50:39,4 - Low,Closed,1,APP_ENT_SERVICENOW,IN: SP: PH: Service Now - Bad update in Servicenow CMB - Computers - Please correct,CMDB,Error Message,France
INC7362539,2025-02-12 02:48:07,2025-02-12 08:58:56,4 - Low,Closed,1,Travel & Expense,IN:VGM:PH: Unable to get credit card banking details,Functionality Error,Not Performing As Expected,United Kingdom
INC7362538,2025-02-12 02:41:47,2025-02-12 04:05:11,4 - Low,Closed,1,SAP_MANUFACTURING,IN:VGM:PH: 9303Z541 - SAP PN1 - can't see demand  from customer in MD04,Functionality Error,Data Incorrect/Missing/Other,Romania
INC7362485,2025-02-12 02:06:07,2025-02-13 04:43:13,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN : JM : PH - Audio error - audio on laptop does not work.,Coaching,Configuration,Germany
INC7362402,2025-02-12 00:35:33,2025-02-12 02:46:52,4 - Low,Closed,1,EUS_TR_00269,SAP Update,Coaching,Configuration,Turkey
INC7362190,2025-02-11 18:18:07,2025-02-12 00:02:57,4 - Low,Autoclosed,0,SAP_BATCHJOBS,OTC_JOBS Job SD_ZSDRQCR21_5452_DELCO TR91 delayed,Error Message,Error Message,Turkey
INC7362188,2025-02-11 18:18:06,2025-02-12 00:04:50,4 - Low,Autoclosed,0,SAP_BATCHJOBS,OTC_JOBS Job SD_ZSDRQCR21_5452_DELCO TR91 delayed,Error Message,Error Message,Turkey
INC7362119,2025-02-11 15:11:25,2025-02-11 16:34:51,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN: RK: PH: Active Directory:  Password Reset,Access/Lockout,Password Reset,Poland
INC7362016,2025-02-11 12:48:34,2025-02-12 03:24:11,3 - Moderate,Autoclosed,3,EUS_GB_00282,UP3:IN: RK: PH: Network:  Opticline Gauge missing network card,Error Message,Error Message,United Kingdom
INC7362002,2025-02-11 12:30:24,2025-02-11 12:30:46,4 - Low,Closed,0,SERVICEDESK_ARGENTINA,ARG: HOG: PH: Windows locked account,Access/Lockout,Password Reset,France
INC7361977,2025-02-11 11:35:43,2025-02-25 06:01:47,4 - Low,Closed,1,SAP_PH1_ORDER_FULFILLMENT,IN: RK: PH: SAP PH1:  Sales order Header Text loaded to Header 1 (text type 0002) is being copied across to Form Header text (text type 0001) ,Error Message,Error Message,United Kingdom
INC7361968,2025-02-11 11:27:40,2025-02-12 04:31:38,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN: MKR: PH: Active Directory - Account locked in AD,Access/Lockout,Locked Account,United Kingdom
INC7361967,2025-02-11 11:31:15,2025-03-14 03:46:17,4 - Low,Autoclosed,0,Global Network Services,Unable to connect to PHINIA LDAP,Error Message,Error Message,Romania
INC7361960,2025-02-11 11:16:24,2025-02-11 13:00:39,4 - Low,Autoclosed,1,Security_UAA,IN:HP:PH AD : Delphi password reset CARS platform error,Access/Lockout,Insufficient Access,Poland
INC7361847,2025-02-11 09:58:52,2025-02-12 09:22:05,4 - Low,Autoclosed,2,EUS_GLOBAL_EO,IN: VB: PH: Computers - User lost notebook during travel.,Referral,Referral,Germany
INC7361820,2025-02-11 09:50:22,2025-02-11 10:47:38,4 - Low,Autoclosed,0,NETWORK_LAN_LEVEL2,274-UK-SWA73-L2.phinia.local Not Responding,Functionality Error,Slow/No Response,United Kingdom
INC7361816,2025-02-11 09:32:10,2025-02-11 09:50:17,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN:HMV:PH : SSPR - Not able to change the password,Access/Lockout,Locked,France
INC7361815,2025-02-11 09:28:06,2025-02-12 04:34:47,4 - Low,Autoclosed,1,APP_ENT_SERVICENOW,IN : AK: PH- Service now :  Two active accounts in ServiceNow,Coaching / Other,Configuration,Poland
INC7361757,2025-02-11 08:58:40,2025-02-12 00:16:16,4 - Low,Closed,1,EUS_TR_00269,Bitlocker Disabled,Encrypting/Decrypting Issues,Suspend/Reenable Protection,Turkey
INC7361746,2025-02-11 08:55:17,2025-02-12 02:51:34,4 - Low,Closed,2,EDI_SEEBURGER_Customer,IN:HMV:PH:  SAP - PH1 025 - WE20 config update for SoldTo(1017933) + ShipTo(2091170) - Please assign to Nicholas Reece within the EDI_TECCOM group.,Error Message,Error Message,United Kingdom
INC7361723,2025-02-11 08:41:56,2025-02-12 00:23:25,4 - Low,Autoclosed,1,EUS_TR_00269,SCCM Version is old,Coaching,Configuration,Turkey
INC7361684,2025-02-11 08:14:06,2025-02-13 09:00:48,4 - Low,Autoclosed,0,EDI_GXS_Customer,Invoice 0019263611  not sent to Customer Volvo ,Error Message,Error Message,Turkey
INC7361665,2025-02-11 07:58:36,2025-02-12 12:41:16,4 - Low,Closed,1,Security_UAA,IN : ND : PH : Share Drive - Network mapping issue,Functionality Error,Not Performing As Expected,United Kingdom
INC7361651,2025-02-11 07:41:37,2025-02-17 02:07:31,4 - Low,Autoclosed,2,EDI_GXS_Vendor,IN:RS:PH:EDI connection between Phinia and supplier Flaig & Honnel Germany,Error Message,Error Message,Romania
INC7361627,2025-02-11 07:32:23,2025-02-11 08:37:37,4 - Low,Autoclosed,2,EUS_GB_10610,IN:HMV:PH: Power Bi - update power BI,Error Message,Error Message,Luxembourg
INC7361626,2025-02-11 07:32:17,2025-02-13 23:05:32,4 - Low,Autoclosed,1,Security_UAA,IN : ND : PH : Share Drive - Unable to map shared drives,Functionality Error,Not Performing As Expected,Poland
INC7361619,2025-02-11 07:18:53,2025-02-17 20:36:42,4 - Low,Closed,1,NETWORK_LAN_LEVEL2,IN : AK : PH - Connectivity issue : 1709 not connecting to DHCP server,Functionality Error,Break/Fix,United Kingdom
INC7361573,2025-02-11 06:43:26,2025-02-13 09:50:06,4 - Low,Closed,3,Global Network Services,"IN:BS:PH-Server -  Invoices, Purchase Orders and Delivery documents not being sent",Functionality Error,Break/Fix,United Kingdom
INC7361547,2025-02-11 06:11:29,2025-02-12 06:12:01,4 - Low,Closed,1,SAP_Basis Level 3,IN : AK : PH- SAP : SAP QE2 - TECCOM5 is not registered to the gateway. unable to perform testing in QE2 for TecCom.,Error Message,Error Message,United Kingdom
INC7361541,2025-02-11 06:05:59,2025-02-12 03:24:10,4 - Low,Autoclosed,1,APP_ENG_SWE&E_POOL,IN:HMV;PH: Plastic - Unable to log in ,Error Message,Failure/Down,Turkey
INC7361523,2025-02-11 05:57:47,2025-02-11 08:19:00,4 - Low,Autoclosed,1,EUS_PL_10682,IN: VB: PH: Computers - User facing issue with laptop.,Functionality Error,Connectivity,Poland
INC7361499,2025-02-11 05:29:53,2025-02-17 07:14:22,4 - Low,Autoclosed,2,SAP_PURCHASE_TO_PAY,IN : ND : PH :SAP - EDI connection,Error Message,Error Message,Turkey
INC7361488,2025-02-11 05:21:28,2025-02-17 06:19:47,4 - Low,Autoclosed,2,SAP_PURCHASE_TO_PAY,IN:RS:PH:SAP-PN1 Vendor Information Report ,Error Message,Error Message,Turkey
INC7361477,2025-02-11 05:18:42,2025-02-12 05:33:30,4 - Low,Autoclosed,1,EUS_GB_00274,IN : AK : PH- PC : Laptop will not connect to WiFi,Error Message,Error Message,United Kingdom
INC7361474,2025-02-11 05:16:04,2025-03-07 04:04:45,4 - Low,Autoclosed,1,EUS_GB_00282,IN:BS:PH- Laptop - every morning aftertime i get a blue screen error message,Functionality Error,Break/Fix,United Kingdom
INC7361468,2025-02-11 05:10:44,2025-02-11 09:47:22,4 - Low,Autoclosed,1,EUS_FR_00202,IN:HMV: PH: my apps are freezing,Error Message,Error Message,France
INC7361460,2025-02-11 05:12:42,2025-03-03 08:44:20,3 - Moderate,Autoclosed,2,Global Network Services,We will need the creation of a subnet /28 in Azure Cloud (Phinia PROD subscription),Functionality Error,Data Incorrect/Missing/Other,Romania
INC7361413,2025-02-11 04:48:14,2025-02-14 08:25:14,4 - Low,Closed,1,SAP_SECURITY,IN: VB: PH: SAP - SAP PH1 - Security use of password disabled.,Error Message,Error Message,United Kingdom
INC7361379,2025-02-11 04:32:43,2025-02-11 07:15:03,4 - Low,Autoclosed,1,EUS_PL_10682,IN : ND : PH : Onsite - Can't install new SAP8.00,Error Message,Error Message,Poland
INC7361378,2025-02-11 04:32:20,2025-02-11 09:24:53,4 - Low,Autoclosed,2,SAP_PURCHASE_TO_PAY,IN:RS:PH:SAP SETUP | PN1 | OETIKER ESPANA SAU | VN 1031754 | DUNS 463147850,Error Message,Error Message,Poland
INC7361355,2025-02-11 05:37:37,2025-02-11 05:38:08,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN : ND : PH : AD - Account Disabled Issue ,Access/Lockout,Account Disabled,United Kingdom
INC7361347,2025-02-11 04:04:11,2025-02-14 05:11:17,4 - Low,Closed,1,SAP_EAI,IN : AK : PH- SAP : File transfer check - SAP EAI team,Error Message,Error Message,United Kingdom
INC7361333,2025-02-11 04:02:47,2025-02-18 06:42:36,4 - Low,Closed,3,EUS_SCCM,IN: VB: PH: Software installation - Constant pop-ups after SAP 800 installation.,Functionality Error,Connectivity,Poland
INC7361332,2025-02-11 03:59:31,2025-02-11 04:43:24,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN:HMV: PH: MFA - Authentication through SMS ,Coaching,Configuration,Romania
INC7361321,2025-02-11 03:44:28,2025-02-21 02:11:12,4 - Low,Autoclosed,2,SAP_MANUFACTURING,IN : ND : PH : SAP - SAP PN1 - PTP PL41 Batchjobs,Batch Job Monitoring,Change,United Kingdom
INC7361303,2025-02-11 03:33:13,2025-02-11 03:38:19,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN:HMV: PH: Bit locker issue - Recovery key prompted upon reboot,Recovery key prompted upon reboot,Key recovery process,United Kingdom
INC7361279,2025-02-11 03:17:32,2025-02-21 14:59:31,4 - Low,Autoclosed,1,APP_COMSUP_eCatalog,IN : JM : PH - ADD/REMOVE/MODIFY ACCESS TO ECATALOG - ECatalog - PCL-PC&L missing.,Functionality Error,Data Incorrect/Missing/Other,Poland
INC7361263,2025-02-11 03:08:18,2025-02-12 04:26:35,4 - Low,Autoclosed,1,EUS_PL_20030,IN : JM : PH - Network Connection - Unable to connect to Phinia network in Rzeszow plant.,Functionality Error,Data Incorrect/Missing/Other,Poland
INC7361262,2025-02-11 03:06:47,2025-02-11 03:40:46,4 - Low,Closed,1,EUS_RO_10304,IN: NSH:PH: Hardware - Monitor Issue - no image signal on the second monitor connected through a dock.,Functionality Error,Break/Fix,Romania
INC7361261,2025-02-11 03:06:06,2025-02-12 04:29:18,4 - Low,Autoclosed,1,EUS_PL_20030,IN: SP: PH: Onsite - Continous login fail on local PC,Error Message,Error Message,Poland
INC7361144,2025-02-11 02:33:45,2025-02-11 03:20:29,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN: NSH: PH: Plastic SCM - Plastic SCM license is deactivated.,Coaching,Technical Question,Turkey
INC7361083,2025-02-11 01:51:43,2025-02-18 06:17:17,4 - Low,Autoclosed,3,Messaging,IN:BS:PH- Onedrive- External users are unable to download files sharev via SharePoint,Error Message,Failure/Down,Poland
INC7361075,2025-02-11 01:38:42,2025-02-11 02:11:59,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN: NSH: PH: Shutdown Server - Could you please shut down the servers at the specified time?,Coaching,Technical Question,Turkey
INC7360671,2025-02-10 20:10:42,2025-02-13 09:05:11,4 - Low,Autoclosed,4,EUS_Intune,IN: SP: PH: SAP Program issue after update,Error Message,Error Message,United Kingdom
INC7360650,2025-02-10 19:52:29,2025-02-10 21:06:03,4 - Low,Closed,0,SERVICEDESK_INDIA,IN: JM: PH: OMS.phinia.local not responding,Error Message,Error Message,United Kingdom
INC7360500,2025-02-10 18:18:22,2025-02-11 10:07:20,4 - Low,Autoclosed,0,SAP_BATCHJOBS,OTC_JOBS Job SD_ZSDRQCR21_5452_DELCO TR91 delayed,Error Message,Error Message,Turkey
INC7360498,2025-02-10 18:18:21,2025-02-11 01:31:47,4 - Low,Autoclosed,0,SAP_BATCHJOBS,OTC_JOBS Job SD_ZSDRQCR21_5452_DELCO TR91 delayed,Error Message,Error Message,Turkey
INC7360181,2025-02-10 12:31:29,2025-02-11 06:26:35,4 - Low,Autoclosed,2,SERVICEDESK_INDIA,IN:HP:PH AD : Frequent account locked,Access/Lockout,Insufficient Access,United Kingdom
INC7360103,2025-02-10 10:28:06,2025-02-11 06:11:50,4 - Low,Autoclosed,1,EUS_GB_00282,IN: VB: PH: WIFI -  PC in bag/tag room can't access wifi.,Functionality Error,Connectivity,United Kingdom
INC7360066,2025-02-10 10:06:22,2025-02-12 02:43:26,4 - Low,Autoclosed,1,NETWORK_LAN_LEVEL2,IN : ND : PH : Scanner WAP 260- Issue with wap 260,Functionality Error,Connectivity,France
INC7359983,2025-02-10 09:43:58,2025-02-12 05:16:43,4 - Low,Autoclosed,1,EUS_GB_00274,IN: MKR: PH: Printer -  Printer no longer recognising swipe card,Functionality Error,Data Incorrect/Missing/Other,United Kingdom
INC7359970,2025-02-10 09:46:07,2025-02-11 07:28:49,4 - Low,Autoclosed,0,EDI_GXS_Customer,Volvo Prices - New Ship To 768533 to Gefco,Error Message,Error Message,Turkey
INC7359954,2025-02-10 09:32:14,2025-02-10 10:36:09,4 - Low,Autoclosed,1,EUS_FR_00202,IN : ND : PH : Onsite - slow pc,Error Message,Error Message,France
INC7359915,2025-02-10 09:01:00,2025-02-14 03:55:14,4 - Low,Autoclosed,0,EDI_GXS_Customer,Invoice missing Supplier Phinia 53239 Customer Volvo 23595,Error Message,Error Message,Turkey
INC7359903,2025-02-10 08:52:32,2025-02-11 07:53:43,4 - Low,Autoclosed,1,APP_ENG_GES_FULL,IN: MKR: PH: GES - Issue with Canceled CR from work list is not cleared (GES),Functionality Error,Data Incorrect/Missing/Other,Turkey
INC7359902,2025-02-10 09:09:16,2025-02-10 09:09:54,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN: MKR: PH: SSPR - Active Directory Password Reset,Access/Lockout,Password Reset,United Kingdom
INC7359891,2025-02-10 08:48:20,2025-02-14 03:35:05,4 - Low,Autoclosed,1,SAP_SECURITY,IN: VB: PH: SAP - User wants closure of SAP PG1 Account of epihava@phinia.com,Error Message,Error Message,Turkey
INC7359840,2025-02-10 08:12:39,2025-02-17 04:32:33,4 - Low,Autoclosed,1,SAP_PH1_ORDER_FULFILLMENT,IN: MKR: PH: SAP - Need a report to extract prices from table A9SC ZCRE in SAP PH1 Production,Error Message,Error Message,United Kingdom
INC7359839,2025-02-10 08:09:16,2025-02-14 06:22:46,4 - Low,Closed,2,APP_ENG_GES_FULL,"IN:RS:PH:Teamcenter-Unable to login,account deactivated",Error Message,Insufficient Resources,United Kingdom
INC7359825,2025-02-10 08:02:58,2025-02-21 06:38:05,4 - Low,Autoclosed,8,Messaging,IN:BS:PH- Office- Office Issue,Functionality Error,Data Incorrect/Missing/Other,Turkey
INC7359804,2025-02-10 07:54:56,2025-02-20 10:21:58,4 - Low,Autoclosed,1,SAP_SECURITY,IN:HMV: PH: SAP - PN1 SAP Access Request Error,Error Message,Error Message,Turkey
INC7359799,2025-02-10 07:41:52,2025-03-11 05:50:43,4 - Low,Autoclosed,2,SAP_PH1_PURCHASE_TO_PAY,IN : ND : PH : SAP - SAP PH1 - TCode-MIRO - Layout creation,Error Message,Error Message,Poland
INC7359798,2025-02-10 07:45:27,2025-02-10 07:59:31,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN:BS:PH- AD - Active Directory  password reset ,Access/Lockout,Password Reset,Romania
INC7359753,2025-02-10 06:46:39,2025-02-10 06:50:19,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN:BS:PH- AD_ Active Directory Password Reset,Access/Lockout,Password Reset,Poland
INC7359745,2025-02-10 06:38:17,2025-02-11 02:24:02,4 - Low,Autoclosed,0,APP_ENG_LIC_MAN,Solidworks-Licensing issue. ,Error Message,Error Message,Romania
INC7359737,2025-02-10 06:34:33,2025-02-11 01:58:18,4 - Low,Autoclosed,0,APP_ENG_LIC_MAN,Solidworks - Licensing issue ,Error Message,Error Message,Romania
INC7359734,2025-02-10 06:27:06,2025-02-13 05:03:00,4 - Low,Autoclosed,5,SERVICEDESK_INDIA,IN:RS:PH:Server-There is sound coming from the server,Error Message,Insufficient Resources,Turkey
INC7359728,2025-02-10 07:15:25,2025-02-10 08:04:37,4 - Low,Closed,0,SERVICEDESK_INDIA,IN : ND : PH : AD - Password Reset,Access/Lockout,Password Reset,United Kingdom
INC7359727,2025-02-10 06:21:08,2025-03-12 09:12:11,4 - Low,Autoclosed,1,APP_ENT_PHINfo,IN:BS:PH- Phinfo - My password was not valid today,Error Message,Error Message,Poland
INC7359705,2025-02-10 06:12:19,2025-02-10 06:45:16,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN:HMV: PH: AD - Account locked,Access/Lockout,Locked,United Kingdom
INC7359692,2025-02-10 05:59:26,2025-02-10 11:30:01,4 - Low,Closed,1,Corporate Web Applications,IN : ND : PH : SharePoint - SharePoint issue ,Functionality Error,Not Performing As Expected,Romania
INC7359691,2025-02-10 05:58:54,2025-03-14 08:32:01,4 - Low,Autoclosed,4,HOSTING_Wintel,IN:RS:PH:Server-HDD is not working and giving warning ,Error Message,Error Message,Turkey
INC7359690,2025-02-10 05:56:11,2025-02-10 07:08:53,4 - Low,Autoclosed,1,EUS_FR_00202,IN:HMV: PH: wifi issue,Error Message,Error Message,France
INC7359683,2025-02-10 05:44:25,2025-02-10 05:47:52,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN : ND : PH : AD - Password Reset,Access/Lockout,Password Reset,United Kingdom
INC7359676,2025-02-10 05:35:11,2025-02-10 05:41:39,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN:RS:PH:AD-Password Reset,Access/Lockout,Password Reset,Poland
INC7359675,2025-02-10 05:26:48,2025-02-11 03:46:40,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN:BS:PH- Phinfo - Unable to reset password using phinfo Duplicate of INC7359727,Error Message,Error Message,Poland
INC7359674,2025-02-10 05:26:03,2025-02-14 03:38:10,4 - Low,Autoclosed,3,SAP_PH1_ORDER_FULFILLMENT,IN:RS:PH:SAP-Description changes in SAP PH1,Error Message,Error Message,United Kingdom
